CODLINHA,NOMELINHA,CODVEICULO,NUMEROCARTAO,DATAUTILIZACAO,COMPLETENESS,CONSISTENCY,CONFORMITY
170,,7D4642,,2833-12-30 10:0:52,60,20,25
000,,00186,,31/02/23 00:00:02,60,40,75
P26I,INTERBAIRROS V,,,,40,20,0
,SISTEMA ARAUCARIA,,,,20,20,0
000,,,,25/10/15 16:31:19,40,40,50
965,,QQ938,6595,25/10/15 06:11:50,80,40,100
000,OPER S/LINHA,00185,,,60,80,50
VR,SISTEMA ARAUCARIA,NJ117,3054989,07/12/01 03:02:00,100,20,75
ARA,HIGIENÓPOLIS,,5765914842,25/10/15 18:55:39,80,60,75
,SISTEMA ARAUCARIA,00185,,,40,40,25
,PIRATINI/BR476,,,,20,20,0
,,00996,,1858-9-04 1:27:40,40,20,25
MUBG,ALIANÇA,2O145,1873093,1266-11-31 23:27:33,100,20,25
J0,,3V140H,,1696-2-07 00:3:05,60,0,0
5723,INTERBAIRROS IV,WK148,,1883-12-02 23:34:46,80,20,25
,FERNANDO NORONHA,2MC826,,,40,20,0
S2,,,3389004,2399-9-1 12:09:08,60,0,25
000,,LF355,202624904,,60,20,75
ARA,OP. CONTIGENCIA,,,25/10/15 10:14:19,60,60,50
,JD.PARANAENSE,,,25/10/15 11:38:55,40,40,25
,SISTEMA ARAUCARIA,L856040,,,40,20,0
ARA,,00239,,,40,40,50
GT,SISTEMA ARAUCARIA,00239,,,60,40,25
,SISTEMA ARAUCARIA,,,25/10/15 21:04:17,40,40,25
,SISTEMA ARAUCARIA,00166,,,40,40,25
B5B1,SISTEMA ARAUCARIA,00165,,,60,40,25
,,01878,1663022,25/10/15 10:53:58,60,20,75
ARA,,80797,78419J,,60,20,50
,OPER S/LINHA,31192,,1703-03-31 10:21:08,60,20,25
,OPER S/LINHA,,,1595-11-20 00:0:01,40,20,0
JV3,,RZ756,,2657-12-07 20:5:9,60,0,50
,OPER S/LINHA,5Q076W,,30/01/03 00:46:00,60,20,25
OPC,C.COMP/C.RASO,14531,,,60,40,50
71O,,,75459469922X,,40,0,25
822,,99693C,3094283,,60,20,50
,OPER S/LINHA,EA172,,25/10/15 10:32:22,60,60,50
OL6,INTERBAIRROS V,,,25/10/15 07:46:35,60,40,50
,,,,,0,0,0
658,,,995300,,40,20,50
617,,698984,2669950706,1165-8-30 2:22:15,80,20,50
650,S.RITA/PINHEIRIN,AU338,,25/10/15 12:22:48,80,80,75
,BARREIRINHA,,3361422,25/10/15 12:27:13,60,40,50
57S,BARREIRINHA,60874,3394837,,80,20,75
236G,BARREIRINHA,,3361422,2043-04-24 19:1:24,80,20,25
205,BARREIRINHA,,,22/08/80 22:52:02,60,60,50
,SOLITUDE,,3386808,,40,20,25
655,CENTENÁRIO/HAUER,,45p,1905-07-23 5:05:33,80,40,25
0T,,,717218J,2204-09-8 0:9:11,60,0,0
311,,03385,,,40,20,50
828,OPER S/LINHA,YZ0351,,25/10/15 12:00:40,80,60,50
,RIO BONITO,,3361772,,40,20,25
K1K64,TRABALHADOR,,4707597,2700-10-23 22:05:1,80,20,25
,,QXP088,,1890-08-31 5:08:56,40,0,0
,,90427R,,2565-8-31 13:07:30,40,0,0
000,,01642A,,2048-10-28 00:6:5,60,20,25
,,,3432369,,20,0,25
L14RA,OPER S/LINHA,U7L365,,,60,20,0
814,VITÓRIA RÉGIA,,2777687,1503-4-26 5:2:4,80,40,50
,MOSSUNGUÊ,LA851,,05/08/64 20:01:07,60,40,50
,MOSSUNGUÊ,50577G,3393821,,60,20,25
6TA,OPER S/LINHA,02025,,1945-10-20 12:00:57,80,40,50
000,C.COMPRIDO/CIC,84483,,25/10/15 18:21:03,80,60,75
,OPER S/LINHA,,3070301,,40,20,25
V9,TARUMÃ,94087,,31/12/85 21:08:00,80,20,50
500E,ESTRIBO AHÚ,,2596331,1228-03-03 21:4:17,80,20,25
,OPER S/LINHA,,04213581201,2677-12-30 20:55:25,60,20,0
000,OPER S/LINHA,63U2187,440217,1778-12-10 00:02:53,100,60,50
,JD.PARANAENSE,02025,2217026,,60,40,50
,,,2489159,2344-3-05 00:06:05,40,0,25
,OPER S/LINHA,,,2107-10-30 05:43:46,40,20,0
,HAUER/BOQUEIRÃO,551664Z,,,40,20,0
,HAUER/BOQUEIRÃO,9DE0701,,,40,20,0
,,,42350D,,20,0,0
O,HAUER/BOQUEIRÃO,EA021,,25/10/15 17:56:13,80,60,50
,C.RASO/CAIUÁ,,,,20,20,0
,,61709O,3025715,09/12/13 06:56:00,60,0,50
000,,,,,20,20,25
000,TRAMONTINA,04357,64716205486,1103-12-22 22:05:5,100,40,50
000,OPER S/LINHA,03048,3468864,25/10/15 20:58:59,100,100,100
,INTERBAIRR II H,,3100196,,40,20,25
000,,,,,20,20,25
,OLARIA,5MF213,,1149-02-7 22:38:40,60,20,0
000,OPER S/LINHA,,,25/10/15 13:43:44,60,80,50
Q0,PINHEIROS,VG683,,2476-12-30 21:5:29,80,20,25
WYL1N,OPER S/LINHA,MA002,3,25/10/15 14:46:44,100,60,75
4,,EC115,,25/10/15 18:19:05,60,20,50
000,,,2120377587143O,25/10/15 13:09:40,60,40,50
000,OPER S/LINHA,12457,3554078,1721-10-30 00:09:28,100,60,75
,OPER S/LINHA,,,25/10/15 13:09:49,40,40,25
674,OPER S/LINHA,,2C,2725-11-21 02:07:12,80,40,25
,OPER S/LINHA,XW896,,,40,20,25
211,,AC932,1837045,2998-12-19 0:26:00,80,40,75
000,OPER S/LINHA,,,1398-07-30 13:43:55,60,60,25
AY,,,,,20,0,0
371,OSTERN/S.CERCADO,3R654,,,60,40,25
Z,INTERBAIRROS V,,24982984041,26/02/06 22:11:03,80,20,25
,OPER S/LINHA,W385099,,2352-10-31 23:45:00,60,20,0
,,,,,0,0,0
OPC,,03043,505352474468,31/10/83 00:39:34,80,40,75
389,INTERBAIRR II H,,70382473450,25/10/15 16:13:48,80,60,50
,OPER S/LINHA,,02064,25/10/15 18:34:55,60,40,50
,CABRAL / PORTÃO,HA610,3513825,25/10/15 16:14:01,80,60,75
3CC4,JD.INDEPEND./CIC,,3094283,,60,20,25
511,SÃO FRANCISCO,,3094283,15/02/52 21:13:34,80,60,75
,BRACATINGA,NB616,,,40,20,25
170,,AC002,,,40,40,50
,,GZ534,1287837,25/10/15 16:36:12,60,20,75
3U,,08820,9722192934O,25/10/15 06:00:54,80,20,50
000,,MA855,3411006,,60,40,75
,,06051,,2064-6-30 22:56:49,40,20,25
911,,,3491614,08/10/39 10:04:10,60,20,75
762,PASSAÚNA,,573328060607,25/10/15 20:20:43,80,60,50
,,,96476069,03/10/04 06:46:43,40,0,50
,JD. ITÁLIA,FX3125,1428C,1604-10-31 00:50:07,80,20,0
,OPER S/LINHA,50900,,25/10/15 10:27:56,60,40,50
020,OPER S/LINHA,09015,,,60,60,50
658,OPER S/LINHA,,,,40,40,25
3JBI,OPER S/LINHA,,,31/06/34 09:02:02,60,20,25
972,,BU754,,25/10/15 23:49:56,60,40,75
000,FORMOSA,75966,3286485,25/10/15 10:27:51,100,60,100
673,,,1557591,29/12/07 21:03:04,60,20,75
000,,1V576,36334p,2716-12-31 23:7:08,80,20,25
,OPER S/LINHA,X08317,,25/10/15 18:23:04,60,40,25
,,,14938,,20,0,25
000,OPER S/LINHA,GDO334,6659899794,25/10/15 07:44:37,100,80,75
,OPER S/LINHA,XLA051,71406425,,60,20,25
000,S.RITA/PINHEIRIN,585038L,,25/10/15 17:28:10,80,60,50
,OPER S/LINHA,66287K,3275491,,60,20,25
1RND4,OP. CONTIGENCIA,SY565,3275491,25/10/15 17:28:14,100,40,75
,,01001,,,20,20,25
000,OPER S/LINHA,XE864,3275491,25/10/15 17:28:17,100,80,100
000,OP. CONTIGENCIA,03004,3327232,,80,60,75
000,OPER S/LINHA,74315,3327232,,80,60,75
,,V1X006,295934916Y,,40,0,0
,OPER S/LINHA,,,2469-08-03 10:3:04,40,20,0
,,R02129,3009204,,40,0,25
,,AC917,3009204,04/11/06 00:04:01,60,20,75
TD,V. NORI,32023,,2191-9-30 00:18:10,80,20,25
H7K,BAIRRO NOVO A,,1388706,25/10/15 11:53:31,80,40,75
1VCCV,BAIRRO NOVO A,49135X,2070,,80,20,25
,OPER S/LINHA,522845,2062436,,60,20,25
,C.RASO/CAIUÁ,G08979,,,40,20,0
,C.RASO/CAIUÁ,IN483X,,,40,20,0
,,E8G868W,1007750,21/07/33 18:08:48,60,0,50
D,OPER S/LINHA,,,25/10/15 11:51:41,60,40,25
,OPER S/LINHA,RF570,31,25/10/15 05:55:32,80,40,75
674,CARBOMAFRA,X68659,,,60,40,25
000,OPER S/LINHA,,0,2402-01-31 6:6:3,80,60,50
000,KAMYR,,3052588,,60,40,50
000,,05039,1359328,,60,40,75
,C.RASO/CAIUÁ,,4c,30/01/53 23:38:20,60,20,25
,CENTENÁRIO/HAUER,QB073,3121674,25/10/15 13:02:30,80,40,75
OPC,,76062,,,40,20,50
,,AA010,,,20,20,25
,OPER S/LINHA,,,,20,20,0
XZ392,OPER S/LINHA,,8591603854291h,1511-1-06 19:31:34,80,20,0
,INTERBAIRROS IV,BC302,28480201,25/10/15 18:11:33,80,60,75
,RUA XV / BARIGUI,,3277833,08/10/30 00:34:05,60,20,50
,RUA XV / BARIGUI,,3097,31/11/38 21:50:07,60,20,50
216,CABRAL / PORTÃO,93535,,25/10/15 17:09:04,80,80,75
,CABRAL / PORTÃO,HA603,809215088205,,60,40,25
216,,,,16/11/46 14:05:55,40,20,50
IU495,OPER S/LINHA,0H952,1961153694b,1174-03-31 02:04:0,100,20,0
,,10915,,03/11/56 18:59:50,40,0,50
,,,,,0,0,0
,INTERB II ANTI H,IV2420,,22/11/34 20:01:01,60,20,25
,OPER S/LINHA,09861,2180476,2951-07-31 09:05:38,80,20,50
5Q9,BRACATINGA,,113444Q,,60,20,25
XYD06,OPER S/LINHA,89182,,25/10/15 10:18:03,80,40,50
,SAVÓIA,,,25/10/15 07:40:39,40,40,25
216,JD. KOSMOS,GR118,4259028439,,80,40,75
,INTERBAIRROS III,,,25/10/15 06:34:42,40,40,25
000,INTERBAIRROS III,QL506,,25/12/96 13:42:06,80,40,75
,V. SANDRA,,,25/10/15 06:03:16,40,40,25
000,OPER S/LINHA,,3019272,1390-10-30 21:2:0,80,60,50
,OPER S/LINHA,49982,325339682T,04/11/32 20:28:03,80,20,50
000,,,,14/04/44 00:43:05,40,20,50
OA,OPER S/LINHA,03010,77972,22/12/62 00:00:23,100,40,75
000,,,,,20,20,25
000,,ZP244,,2439-11-22 17:26:42,60,20,50
27,OPER S/LINHA,,,25/10/15 19:31:39,60,40,25
040,,04R2830,,30/03/41 20:56:07,60,20,50
,OPER S/LINHA,,2682732,15/11/74 09:08:57,60,20,50
000,OPER S/LINHA,AA025,,25/10/15 17:21:23,80,100,75
,OPER S/LINHA,AA025,,,40,40,25
26Q43,CANAL BELÉM,,3479080,30/11/04 21:18:34,80,20,50
000,GRAMADOS,997067D,1491456,31/07/88 06:04:05,100,40,75
000,OP. CONTIGENCIA,9CT8693,52029W,25/10/15 12:15:40,100,60,50
,VITÓRIA RÉGIA,,,,20,20,0
,TERMINAL PINHEIRINHO,7CV827,3212581,1623-02-16 16:1:02,80,20,25
,TERMINAL PINHEIRINHO,WR734,1649543,25/10/15 13:10:33,80,40,75
ARA,OPER S/LINHA,,,1712-6-30 5:55:35,60,40,25
I08J,OPER S/LINHA,,,03/01/89 00:00:01,60,20,25
,TERMINAL PINHEIRINHO,AE792,3311933,,60,20,50
,,,,2870-3-13 00:03:26,20,0,0
,,,,25/10/15 16:49:11,20,20,25
AD6N,,79156,3389004,06/06/49 00:00:02,80,0,75
000,OP. CONTIGENCIA,,,,40,40,25
,C.COMP/C.RASO,0OH529U,8,1740-7-31 23:03:06,80,20,25
Z,,9DO099,,2388-3-11 22:06:06,60,0,0
,,IR011,1323661,2219-12-17 06:4:11,60,0,50
000,INTERBAIRROS IV,WER672,,1179-3-30 14:6:02,80,40,25
,,,1942937,07/10/76 05:08:02,40,0,50
64,OP. CONTIGENCIA,,3474050,07/01/03 10:11:09,80,20,50
,OP. CONTIGENCIA,36851,73514554355984,25/10/15 19:51:44,80,40,50
,,37K238,258532365574c,25/10/15 19:51:48,60,20,25
DEU,SÃO BRAZ,53Z989,,,60,20,25
,OP. CONTIGENCIA,JW249,,,40,20,25
OPC,OP. CONTIGENCIA,71452,3466800,2539-07-1 00:05:06,100,60,75
000,OPER S/LINHA,80720,66N,20/03/70 00:01:01,100,60,75
000,OPER S/LINHA,05040,11497093643,20/11/18 07:03:00,100,80,75
,OPER S/LINHA,91512,436335242,,60,20,50
000,OPER S/LINHA,61974,1,,80,60,75
81P,,26902K,34793848q,25/10/15 06:14:31,80,20,50
,OPER S/LINHA,,,25/10/15 07:38:12,40,40,25
8VX80,,,3e,2911-10-8 00:0:08,60,0,0
,RIO BONITO,0J163,609917,25/10/15 10:06:01,80,40,50
000,,,3432879,25/10/15 10:06:09,60,40,75
,INTERBAIRROS V,YE092,843083,,60,20,50
,LUIZ NICHELE,30627,,,40,20,25
KY9H,CABRAL / OSÓRIO,68991,,,60,20,25
000,ALIANÇA,4F0907,1806258,,80,40,50
000,TUBO ST QUITERIA,IM288,3194852,,80,40,75
000,,,,,20,20,25
OPC,OP. CONTIGENCIA,,2898309,,60,60,50
,PQ.INDUSTRIAL,,3210922,,40,20,25
,TRABALHADOR,FA583,945t,1883-1-9 16:05:44,80,20,25
,,,3549008,25/10/15 22:03:38,40,20,50
,TRABALHADOR,,417204640Z,23/07/73 16:42:50,60,20,25
551W,OPER S/LINHA,WB527,437,,80,20,50
A,OPER S/LINHA,,6032336893,2162-5-30 16:49:20,80,20,25
000,,05041,,,40,40,50
000,,37738,859197277a,25/10/15 19:13:39,80,40,75
38,,,,2867-10-30 09:5:03,40,0,0
TJ1,OPER S/LINHA,OE096,6573477w,25/10/15 17:56:56,100,40,75
F,OPER S/LINHA,,,1703-02-29 23:05:8,60,20,0
,BOSCH,,,,20,20,0
,OPER S/LINHA,HA012,,,40,40,25
,,AC929,3287696,,40,20,50
853,,,,,20,0,25
