CODLINHA,NOMELINHA
180,AVERDE/ABRANCHES
271,LARANJEIRAS
164,RAQUEL PRADO
673,FORMOSA
674,N. SRA. DA LUZ
650,S.RITA/PINHEIRIN
680,RURBANA
212,SOLAR
789,MAD. CAIUÁ
913,BUTIATUVINHA
182,ABRANCHES
260,M.HERMES/STA.EFI
060,INTERBAIRROS VI
541,BAIRRO NOVO A
462,PETRÓPOLIS
989,MAD. STA. FELICIDADE
811,SATURNO
536,ZOOLÓGICO
965,SÃO BERNARDO
TSB,TUBO S BERNADETE
703,CAIUÁ
378,INTERHOSPITAIS
225,B.VISTA/BARREIR
265,AHÚ/LOS ANGELES
829,UNIV.POSITIVO
778,COTOLENGO
231,BANES/CALIFÓRNIA
165,UNIVERSIDADES
371,HIGIENÓPOLIS
616,PORT/ST.BER-LVER
535,OSTERNACK/BOQ.
656,KAMYR
621,FANNY
169,JD. KOSMOS
611,FAZENDINH/PORTÃO
461,STA. BARBARA
385,CRISTO REI
TXA,TUBO XAXIM
761,V. IZABEL
474,JD. ITIBERÊ
366,ITUPAV/H.MILITAR
011,INTERBAIRROS I A
622,RONDON
181,MATEUS LEME
649,PIRINEUS
822,GABINETO
189,MAD. ABRANCHES
226,ABAETÉ
489,MAD. PETRÓPOLIS / SOLITUDE
236,SÃO BENEDITO
615,UBERLÂNDIA
659,CAXIMBA/OLARIA
471,V. SÃO PAULO
630,VITÓRIA RÉGIA
901,STA. FELICIDADE
465,ERASTO  GAERTNER
475,CANAL BELÉM
335,CENT./BOQUEIRÃO 
654,CAMPO ALEGRE
207,CABRAL / OSÓRIO
243,STA. TEREZINHA
311,ARAGUAIA
242,V. LEONICE
030,INTERBAIRROS III
232,ALIANÇA
915,O.VERDE/V.BÁDIA
701,FAZENDINHA
801,CAMP.SIQ./BATEL
548,OSTERN/S.CERCADO
TMA,TUBO MARECHAL
640,PALMEIRA
683,FUTURAMA/S.CERC.
001,C. CENTRO (H)
021,INTERB II ANTI H
TPH,TERMINAL PINHEIRINHO
389,MAD. TARUMÃ / AUGUSTA
671,PORTÃO
653,SABARÁ
916,PINHEIROS
911,PASSAÚNA
040,INTERBAIRROS IV
372,TARUMÃ
540,BOQUEIRÃO/KRAFT
823,AUGUSTA
825,V. MARQUETO
762,V. ROSINHA
594,MENONITAS
549,MAD. BAIRRO NOVO
336,V. RENO
777,V. VELHA
652,V. VERDE
TSP,TUBO SAO PEDRO  
716,FRIGORIFICO
ARA,SISTEMA ARAUCARIA
TSQ,TUBO ST QUITERIA
816,C.SIQUEIRA/STA.FELICIDADE
619,STA. RITA / CIC
821,FERNÃO DIAS
875,BIGORRILHO
924,STA.FEL/SCÂNDIDA
233,OLARIA
175,BOM RETIRO / PUC
050,INTERBAIRROS V
657,XAXIM/CAPÃO RASO
361,AUGUSTO STRESSER
641,LUIZ NICHELE
533,E.VERÍS/PANTANAL
370,RUA XV / BARIGUI
685,RIO BONITO/CIC
321,TRINDADE
532,JD.PARANAENSE
522,MARINGÁ
322,CAMARGO
632,QUARTEL GENERAL
967,JÚLIO GRAF
870,SÃO BRAZ
244,JD. DO ARROIO
341,B.ALTO/STA.CA
861,TRAMONTINA
917,JD. IPÊ
183,JD. CHAPARRAL
213,SÃO JOÃO
512,ITAMARATI
166,V. NORI
718,PORTO BELO
646,POMPÉIA / JANAÍNA
216,CABRAL / PORTÃO
386,CAJURU
531,STA. INÊS
972,JD. ITÁLIA
624,V. SÃO PEDRO
545,TRABALHADOR
826,C.COMPRIDO/CIC
658,C.RASO/CAIUÁ
661,LINDÓIA
272,PAINEIRAS
170,BRACATINGA
308,MAD. CENTENÁRIO / RUI BARBOSA
222,V. ESPERANÇA
623,PQ.INDUSTRIAL
309,MAD. CENTENÁRIO
712,JD.INDEPEND./CIC
865,JD. ESPLANADA
513,HAUER/BOQUEIRÃO
912,JOSÉ CULPI
468,JD. CENTAURO
TFA,TUBO FANNY
020,INTERBAIRR II H
889,MAD. SÃO BRÁZ
668,CASA DE CUSTÓDIA
828,C.COMP/C.RASO
176,NILO PEÇANHA
633,MARIA ANGÉLICA
629,ALTO BOQUEIRÃO
663,V. CUBAS
205,BARREIRINHA
711,ITATIAIA
211,COLINA VERDE
713,STA. AMÉLIA
760,STA. QUITÉRIA
547,BAIRRO NOVO C
375,SAGRADO CORAÇÃO
642,GANCHINHO
OPC,OP. CONTIGENCIA
542,BAIRRO NOVO B
636,RIO NEGRO
628,CARBOMAFRA
561,GUILHERMINA
814,MOSSUNGUÊ
876,SAVÓIA
662,DOM ÁTICO
160,J.MERCES/GUANABA
374,HUGO LANGE
266,ESTRIBO AHÚ
655,JD. ORDEM
338,CENTENÁRIO/HAUER
000,OPER S/LINHA
643,UMBARÁ
150,C.MUSIC/V.ALEGRE
666,NOVO MUNDO
860,V. SANDRA
523,IGUAPE I
809,MAD. CAMPO COMPRIDO
779,V.VELHA / BURITI
168,RAPOSO TAVARES
714,V. MARISA
635,LONDRINA
684,RIO BONITO
644,PINHEIRINHO/CIC
472,UBERABA
812,MONTANA
918,VENEZA
627,BOSCH
560,ALFERES POLI
323,V. AUTÓDROMO
380,DETRAN/V.MACHADO
521,NIVALDO BRAGA
515,IGUAPE II
274,STA. GEMA
788,MAD. V. VELHA
625,GRAMADOS
612,PORTÃO / CIC
270,FERNANDO NORONHA
639,FUTURAMA
617,JD. LUDOVICA
511,SÃO FRANCISCO
171,PRIMAVERA
387,PALOTINOS
342,B.ALTO/BOA VISTA
002,C. CENTRO (AH)
229,MAD.PENHA/F.NORO
332,ACRÓPOLE
463,SOLITUDE
534,PARIGOT DE SOUZA
373,ALTO TARUMÃ
631,PIRATINI/BR476
690,V. JULIANA
665,V. REX
637,STA. JOANA
638,PINHEIRINHO
010,INTERBAIRROS I H
MCC,C. CENTRO
