,codlinha,nomelinha
0,180,AVERDE/ABRANCHES
1,271,LARANJEIRAS
2,673,FORMOSA
3,331,MERCÚRIO
4,650,S.RITA/PINHEIRIN
5,674,N. SRA. DA LUZ
6,680,RURBANA
7,184,V. SUIÇA
8,212,SOLAR
9,789,MAD. CAIUÁ
10,913,BUTIATUVINHA
11,182,ABRANCHES
12,X24,REFORÇO SAMBAQUI
13,614,FAZENDINHA/PUC
14,464,A.MUN/J.BOTÂNICO
15,720,FAZEN/C.COMPRIDO
16,260,M.HERMES/STA.EFI
17,060,INTERBAIRROS VI
18,393,C.IMB./P.BARIGUI
19,541,BAIRRO NOVO A
20,462,PETRÓPOLIS
21,360,NOVENA
22,989,MAD. STA. FELICIDADE
23,732,CAIUA/C.COMPRIDO
24,719,FAZ./CAIUÁ-FRIGO
25,811,SATURNO
26,536,ZOOLÓGICO
27,965,SÃO BERNARDO
28,TSB,TUBO S BERNADETE
29,703,CAIUÁ
30,516,C.BELEM/S.FILHO
31,225,B.VISTA/BARREIR
32,265,AHÚ/LOS ANGELES
33,778,COTOLENGO
34,245,REFORÇO ANITA GARIBALDI
35,829,UNIV.POSITIVO
36,165,UNIVERSIDADES
37,231,BANES/CALIFÓRNIA
38,X25,ESP. UNIANDRADE
39,371,HIGIENÓPOLIS
40,616,PORT/ST.BER-LVER
41,535,OSTERNACK/BOQ.
42,656,KAMYR
43,621,FANNY
44,169,JD. KOSMOS
45,461,STA. BARBARA
46,611,FAZENDINH/PORTÃO
47,385,CRISTO REI
48,761,V. IZABEL
49,TXA,TUBO XAXIM
50,366,ITUPAV/H.MILITAR
51,474,JD. ITIBERÊ
52,011,INTERBAIRROS I A
53,622,RONDON
54,181,MATEUS LEME
55,649,PIRINEUS
56,822,GABINETO
57,189,MAD. ABRANCHES
58,226,ABAETÉ
59,489,MAD. PETRÓPOLIS / SOLITUDE
60,236,SÃO BENEDITO
61,689,MAD. S. PEDRO / R. NEGRO
62,615,UBERLÂNDIA
63,659,CAXIMBA/OLARIA
64,471,V. SÃO PAULO
65,901,STA. FELICIDADE
66,630,VITÓRIA RÉGIA
67,465,ERASTO  GAERTNER
68,831,FAZEND./C.RASO
69,475,CANAL BELÉM
70,335,CENT./BOQUEIRÃO 
71,654,CAMPO ALEGRE
72,207,CABRAL / OSÓRIO
73,243,STA. TEREZINHA
74,311,ARAGUAIA
75,242,V. LEONICE
76,915,O.VERDE/V.BÁDIA
77,030,INTERBAIRROS III
78,232,ALIANÇA
79,701,FAZENDINHA
80,801,CAMP.SIQ./BATEL
81,548,OSTERN/S.CERCADO
82,TMA,TUBO MARECHAL
83,683,FUTURAMA/S.CERC.
84,Z03,V.CARV./C.IMBUIA
85,640,PALMEIRA
86,001,C. CENTRO (H)
87,021,INTERB II ANTI H
88,TPH,TERMINAL PINHEIRINHO
89,776,CARMELA DUTRA
90,671,PORTÃO
91,389,MAD. TARUMÃ / AUGUSTA
92,653,SABARÁ
93,916,PINHEIROS
94,911,PASSAÚNA
95,X14,REFORÇO HAUER
96,040,INTERBAIRROS IV
97,167,FREDOLIN WOLF
98,372,TARUMÃ
99,540,BOQUEIRÃO/KRAFT
100,823,AUGUSTA
101,815,TUIUTI BARIGUI
102,762,V. ROSINHA
103,549,MAD. BAIRRO NOVO
104,594,MENONITAS
105,365,JD.SOCIAL/BATEL
106,336,V. RENO
107,777,V. VELHA
108,652,V. VERDE
109,509,MAD. BOQUEIRÃO
110,TSP,TUBO SAO PEDRO  
111,ARA,SISTEMA ARAUCARIA
112,816,C.SIQUEIRA/STA.FELICIDADE
113,TSQ,TUBO ST QUITERIA
114,670,SÃO JORGE
115,619,STA. RITA / CIC
116,875,BIGORRILHO
117,821,FERNÃO DIAS
118,924,STA.FEL/SCÂNDIDA
119,233,OLARIA
120,175,BOM RETIRO / PUC
121,050,INTERBAIRROS V
122,657,XAXIM/CAPÃO RASO
123,361,AUGUSTO STRESSER
124,609,MAD. CIC
125,533,E.VERÍS/PANTANAL
126,370,RUA XV / BARIGUI
127,641,LUIZ NICHELE
128,685,RIO BONITO/CIC
129,620,STA. CRUZ
130,532,JD.PARANAENSE
131,321,TRINDADE
132,522,MARINGÁ
133,322,CAMARGO
134,967,JÚLIO GRAF
135,870,SÃO BRAZ
136,861,TRAMONTINA
137,341,B.ALTO/STA.CA
138,470,GUABIROTUBA
139,244,JD. DO ARROIO
140,183,JD. CHAPARRAL
141,917,JD. IPÊ
142,213,SÃO JOÃO
143,512,ITAMARATI
144,166,V. NORI
145,718,PORTO BELO
146,646,POMPÉIA / JANAÍNA
147,216,CABRAL / PORTÃO
148,531,STA. INÊS
149,386,CAJURU
150,721,MARIO JORGE
151,972,JD. ITÁLIA
152,624,V. SÃO PEDRO
153,545,TRABALHADOR
154,658,C.RASO/CAIUÁ
155,826,C.COMPRIDO/CIC
156,188,MAD. PILARZINHO / UBERABA
157,661,LINDÓIA
158,272,PAINEIRAS
159,170,BRACATINGA
160,308,MAD. CENTENÁRIO / RUI BARBOSA
161,623,PQ.INDUSTRIAL
162,222,V. ESPERANÇA
163,309,MAD. CENTENÁRIO
164,679,MAD. TATUQUARA
165,712,JD.INDEPEND./CIC
166,865,JD. ESPLANADA
167,912,JOSÉ CULPI
168,513,HAUER/BOQUEIRÃO
169,TFA,TUBO FANNY
170,468,JD. CENTAURO
171,020,INTERBAIRR II H
172,889,MAD. SÃO BRÁZ
173,467,V. MACEDO
174,668,CASA DE CUSTÓDIA
175,176,NILO PEÇANHA
176,828,C.COMP/C.RASO
177,633,MARIA ANGÉLICA
178,629,ALTO BOQUEIRÃO
179,827,RIVIERA
180,663,V. CUBAS
181,205,BARREIRINHA
182,711,ITATIAIA
183,211,COLINA VERDE
184,713,STA. AMÉLIA
185,760,STA. QUITÉRIA
186,667,TERMINAL CIC
187,375,SAGRADO CORAÇÃO
188,547,BAIRRO NOVO C
189,642,GANCHINHO
190,OPC,OP. CONTIGENCIA
191,542,BAIRRO NOVO B
192,636,RIO NEGRO
193,628,CARBOMAFRA
194,561,GUILHERMINA
195,814,MOSSUNGUÊ
196,876,SAVÓIA
197,662,DOM ÁTICO
198,160,J.MERCES/GUANABA
199,374,HUGO LANGE
200,266,ESTRIBO AHÚ
201,655,JD. ORDEM
202,334,AGRÍCOLA
203,338,CENTENÁRIO/HAUER
204,000,OPER S/LINHA
205,643,UMBARÁ
206,666,NOVO MUNDO
207,150,C.MUSIC/V.ALEGRE
208,860,V. SANDRA
209,523,IGUAPE I
210,809,MAD. CAMPO COMPRIDO
211,168,RAPOSO TAVARES
212,779,V.VELHA / BURITI
213,466,ESTUDANTES
214,714,V. MARISA
215,635,LONDRINA
